k,duration,min_amp,amplitude,min_duration
0.1,0.5,2.4,,
0.22142857142857142,0.5,2.6,,
0.34285714285714286,0.5,2.75,,
0.4642857142857143,0.5,2.9,,
0.5857142857142857,0.5,,,
0.7071428571428571,0.5,,,
0.8285714285714285,0.5,,,
0.95,0.5,,,
1.0714285714285714,0.5,,,
1.1928571428571428,0.5,,,
1.3142857142857143,0.5,,,
1.4357142857142857,0.5,,,
1.5571428571428572,0.5,,,
1.6785714285714286,0.5,,,
1.8,0.5,,,
0.1,1.0,1.4000000000000001,,
0.22142857142857142,1.0,1.5000000000000002,,
0.34285714285714286,1.0,1.6,,
0.4642857142857143,1.0,1.7000000000000002,,
0.5857142857142857,1.0,1.8,,
0.7071428571428571,1.0,1.9500000000000002,,
0.8285714285714285,1.0,2.05,,
0.95,1.0,2.15,,
1.0714285714285714,1.0,2.3,,
1.1928571428571428,1.0,2.4,,
1.3142857142857143,1.0,2.5,,
1.4357142857142857,1.0,2.65,,
1.5571428571428572,1.0,2.75,,
1.6785714285714286,1.0,2.9,,
1.8,1.0,3.0,,
0.1,2.0,0.8500000000000001,,
0.22142857142857142,2.0,0.9500000000000001,,
0.34285714285714286,2.0,1.05,,
0.4642857142857143,2.0,1.1500000000000001,,
0.5857142857142857,2.0,1.2000000000000002,,
0.7071428571428571,2.0,1.3,,
0.8285714285714285,2.0,1.4000000000000001,,
0.95,2.0,1.5000000000000002,,
1.0714285714285714,2.0,1.6,,
1.1928571428571428,2.0,1.7000000000000002,,
1.3142857142857143,2.0,1.85,,
1.4357142857142857,2.0,1.9500000000000002,,
1.5571428571428572,2.0,2.05,,
1.6785714285714286,2.0,2.15,,
1.8,2.0,2.3,,
0.1,3.0,0.7000000000000001,,
0.22142857142857142,3.0,0.8,,
0.34285714285714286,3.0,0.8500000000000001,,
0.4642857142857143,3.0,0.9500000000000001,,
0.5857142857142857,3.0,1.05,,
0.7071428571428571,3.0,1.1500000000000001,,
0.8285714285714285,3.0,1.2000000000000002,,
0.95,3.0,1.3,,
1.0714285714285714,3.0,1.4000000000000001,,
1.1928571428571428,3.0,1.5000000000000002,,
1.3142857142857143,3.0,1.6,,
1.4357142857142857,3.0,1.7500000000000002,,
1.5571428571428572,3.0,1.85,,
1.6785714285714286,3.0,1.9500000000000002,,
1.8,3.0,2.05,,
0.1,5.0,0.6000000000000001,,
0.22142857142857142,5.0,0.6500000000000001,,
0.34285714285714286,5.0,0.7500000000000001,,
0.4642857142857143,5.0,0.8,,
0.5857142857142857,5.0,0.9000000000000001,,
0.7071428571428571,5.0,1.0,,
0.8285714285714285,5.0,1.1,,
0.95,5.0,1.2000000000000002,,
1.0714285714285714,5.0,1.3,,
1.1928571428571428,5.0,1.4000000000000001,,
1.3142857142857143,5.0,1.5000000000000002,,
1.4357142857142857,5.0,1.6,,
1.5571428571428572,5.0,1.7000000000000002,,
1.6785714285714286,5.0,1.8,,
1.8,5.0,1.9500000000000002,,
0.1,,,0.5,8.0
0.22142857142857142,,,0.5,
0.34285714285714286,,,0.5,
0.4642857142857143,,,0.5,
0.5857142857142857,,,0.5,
0.7071428571428571,,,0.5,
0.8285714285714285,,,0.5,
0.95,,,0.5,
1.0714285714285714,,,0.5,
1.1928571428571428,,,0.5,
1.3142857142857143,,,0.5,
1.4357142857142857,,,0.5,
1.5571428571428572,,,0.5,
1.6785714285714286,,,0.5,
1.8,,,0.5,
0.1,,,1.0,1.559493670886076
0.22142857142857142,,,1.0,1.7607594936708864
0.34285714285714286,,,1.0,2.062658227848101
0.4642857142857143,,,1.0,2.5658227848101265
0.5857142857142857,,,1.0,3.169620253164557
0.7071428571428571,,,1.0,4.377215189873418
0.8285714285714285,,,1.0,
0.95,,,1.0,
1.0714285714285714,,,1.0,
1.1928571428571428,,,1.0,
1.3142857142857143,,,1.0,
1.4357142857142857,,,1.0,
1.5571428571428572,,,1.0,
1.6785714285714286,,,1.0,
1.8,,,1.0,
0.1,,,1.5,0.9556962025316457
0.22142857142857142,,,1.5,1.0563291139240507
0.34285714285714286,,,1.5,1.1569620253164559
0.4642857142857143,,,1.5,1.257594936708861
0.5857142857142857,,,1.5,1.358227848101266
0.7071428571428571,,,1.5,1.559493670886076
0.8285714285714285,,,1.5,1.7607594936708864
0.95,,,1.5,2.062658227848101
1.0714285714285714,,,1.5,2.3645569620253166
1.1928571428571428,,,1.5,2.968354430379747
1.3142857142857143,,,1.5,4.175949367088608
1.4357142857142857,,,1.5,
1.5571428571428572,,,1.5,
1.6785714285714286,,,1.5,
1.8,,,1.5,
0.1,,,2.0,0.6537974683544305
0.22142857142857142,,,2.0,0.7544303797468356
0.34285714285714286,,,2.0,0.7544303797468356
0.4642857142857143,,,2.0,0.8550632911392406
0.5857142857142857,,,2.0,0.8550632911392406
0.7071428571428571,,,2.0,0.9556962025316457
0.8285714285714285,,,2.0,1.0563291139240507
0.95,,,2.0,1.1569620253164559
1.0714285714285714,,,2.0,1.257594936708861
1.1928571428571428,,,2.0,1.458860759493671
1.3142857142857143,,,2.0,1.559493670886076
1.4357142857142857,,,2.0,1.8613924050632913
1.5571428571428572,,,2.0,2.1632911392405063
1.6785714285714286,,,2.0,2.5658227848101265
1.8,,,2.0,3.4715189873417724
0.1,,,2.5,0.5531645569620254
0.22142857142857142,,,2.5,0.5531645569620254
0.34285714285714286,,,2.5,0.5531645569620254
0.4642857142857143,,,2.5,0.6537974683544305
0.5857142857142857,,,2.5,0.6537974683544305
0.7071428571428571,,,2.5,0.7544303797468356
0.8285714285714285,,,2.5,0.7544303797468356
0.95,,,2.5,0.8550632911392406
1.0714285714285714,,,2.5,0.8550632911392406
1.1928571428571428,,,2.5,0.9556962025316457
1.3142857142857143,,,2.5,1.0563291139240507
1.4357142857142857,,,2.5,1.1569620253164559
1.5571428571428572,,,2.5,1.257594936708861
1.6785714285714286,,,2.5,1.358227848101266
1.8,,,2.5,1.559493670886076
